product_id,name,description,price,currency,sizes,fits,tags,gender,category,subcategory,brand,geo_tags,offerPercentage,is_active,stock,created_at,updated_at
prod_6,Classic Denim Jacket,Timeless denim jacket for everyday wear,2499.0,INR,"['XS','S','M','L','XL']",['Regular'],"['Denim','Casual','Versatile']",unisex,Clothing,Jackets,Levi's,['India'],15.0,True,75,2024-01-10,2024-12-05
prod_7,Silk Saree,Pure silk saree with intricate zari work,8999.0,INR,['One Size'],['Regular'],"['Traditional','Wedding','Luxury']",female,Clothing,Sarees,Kanchan,['India'],20.0,True,30,2024-01-12,2024-12-03
prod_8,Performance Running Shoes,Lightweight shoes for serious runners,5499.0,INR,"['7','8','9','10','11']",['Regular'],"['Running','Sports','Athleisure']",unisex,Shoes,Sneakers,Adidas,['India'],25.0,True,120,2024-01-15,2024-12-02
prod_9,Formal Trousers,Stretchable formal trousers for comfort,1799.0,INR,"['30','32','34','36']",['Slim'],"['Formal','Office','Comfort']",male,Clothing,Trousers,Van Heusen,['India'],10.0,True,90,2024-01-18,2024-12-04
prod_10,Bohemian Maxi Dress,Flowy boho dress perfect for summers,2299.0,INR,"['S','M','L','XL']",['Relaxed'],"['Bohemian','Summer','Beach']",female,Clothing,Dresses,Forever 21,['India'],30.0,True,55,2024-01-20,2024-12-06
prod_11,Leather Crossbody Bag,Genuine leather crossbody bag for women,3299.0,INR,['One Size'],['Regular'],"['Accessories','Leather','Stylish']",female,Accessories,Bags,H&M,['India'],20.0,True,65,2024-01-22,2024-12-08
prod_12,Cotton Cargo Pants,Comfortable cargo pants with multiple pockets,1599.0,INR,"['S','M','L','XL']",['Regular'],"['Streetwear','Casual','Utility']",male,Clothing,Pants,Zara,['India'],15.0,True,110,2024-01-25,2024-12-07
prod_13,Sports Bra High Support,High-impact sports bra for workouts,1299.0,INR,"['XS','S','M','L']",['Fitted'],"['Fitness','Activewear','Gym']",female,Clothing,Activewear,Nike,['India'],10.0,True,85,2024-01-28,2024-12-09
prod_14,Designer Sunglasses,UV protection polarized sunglasses,2999.0,INR,['One Size'],['Regular'],"['Accessories','Summer','Luxury']",unisex,Accessories,Sunglasses,Ray-Ban,['India'],25.0,True,45,2024-02-01,2024-12-10
prod_15,Kurti Set with Dupatta,Ready-to-wear kurti set with matching dupatta,2599.0,INR,"['S','M','L']",['Regular'],"['Ethnic','Festive','Comfort']",female,Clothing,Ethnic Wear,Biba,['India'],20.0,True,70,2024-02-05,2024-12-11
prod_16,Classic Polo T-Shirt,Staple polo t-shirt for casual outings,899.0,INR,"['S','M','L','XL','XXL']",['Regular'],"['Casual','Preppy','Summer']",male,Clothing,T-Shirts,UCB,['India'],10.0,True,150,2024-02-08,2024-12-12
prod_17,Winter Parka Jacket,Heavy-duty parka for extreme winters,6999.0,INR,"['M','L','XL','XXL']",['Oversized'],"['Winter','Warm','Outdoor']",unisex,Clothing,Jackets,The North Face,['India'],30.0,True,40,2024-02-12,2024-12-13
prod_18,Evening Gown,Sparkling evening gown for formal events,11999.0,INR,"['S','M','L']",['Fitted'],"['Party','Luxury','Formal']",female,Clothing,Dresses,Mango,['India'],35.0,True,25,2024-02-15,2024-12-14
prod_19,Canvas Backpack,Durable canvas backpack for daily use,1499.0,INR,['One Size'],['Regular'],"['Backpack','College','Casual']",unisex,Accessories,Bags,Wildcraft,['India'],15.0,True,95,2024-02-18,2024-12-15
prod_20,Formal Blazer,Slim fit blazer for business meetings,4499.0,INR,"['S','M','L','XL']",['Slim'],"['Formal','Business','Professional']",male,Clothing,Blazers,Allen Solly,['India'],20.0,True,50,2024-02-20,2024-12-16
prod_21,Yoga Pants,Stretchy yoga pants for maximum flexibility,999.0,INR,"['XS','S','M','L']",['Fitted'],"['Activewear','Yoga','Comfort']",female,Clothing,Activewear,Puma,['India'],10.0,True,130,2024-02-22,2024-12-17
prod_22,Designer Watch,Chronograph water-resistant watch,8999.0,INR,['One Size'],['Regular'],"['Luxury','Accessories','Statement']",male,Accessories,Watches,Fossil,['India'],25.0,True,35,2024-02-25,2024-12-18
prod_23,Crop Top Summer,Colorful crop top for summer fashion,699.0,INR,"['XS','S','M']",['Fitted'],"['Summer','Casual','Trendy']",female,Clothing,Tops,Zara,['India'],20.0,True,180,2024-02-28,2024-12-19
prod_24,Chino Pants,Versatile chino pants for smart casual look,1799.0,INR,"['30','32','34','36']",['Regular'],"['Casual','Smart Casual','Versatile']",male,Clothing,Pants,Benetton,['India'],15.0,True,80,2024-03-01,2024-12-20
prod_25,Silk Scarf,Printed silk scarf for all occasions,1299.0,INR,['One Size'],['Regular'],"['Accessories','Luxury','Versatile']",female,Accessories,Scarves,Hermès,['India'],30.0,True,60,2024-03-05,2024-12-21
prod_26,Running Shorts,Breathable running shorts for workouts,799.0,INR,"['S','M','L','XL']",['Regular'],"['Activewear','Running','Summer']",male,Clothing,Shorts,Adidas,['India'],10.0,True,140,2024-03-08,2024-12-22
prod_27,Lehenga Choli,Bridal lehenga with heavy embroidery,25999.0,INR,"['S','M','L']",['Fitted'],"['Bridal','Wedding','Traditional']",female,Clothing,Ethnic Wear,Sabyasachi,['India'],40.0,True,15,2024-03-10,2024-12-23
prod_28,Graphic Tee,Cotton graphic tee with unique prints,999.0,INR,"['XS','S','M','L','XL']",['Regular'],"['Casual','Graphic','Streetwear']",unisex,Clothing,T-Shirts,Vans,['India'],20.0,True,200,2024-03-12,2024-12-24
prod_29,Formal Skirt,Pencil skirt for office wear,1899.0,INR,"['S','M','L']",['Slim'],"['Formal','Office','Professional']",female,Clothing,Skirts,M&S,['India'],15.0,True,65,2024-03-15,2024-12-25
prod_30,Swim Trunks,Quick-dry swim trunks for beach vacations,1499.0,INR,"['M','L','XL']",['Regular'],"['Swimwear','Beach','Summer']",male,Clothing,Swimwear,Quiksilver,['India'],25.0,True,75,2024-03-18,2024-12-26
prod_31,Maxi Skirt,Flowy maxi skirt for bohemian style,1699.0,INR,"['S','M','L']",['Relaxed'],"['Bohemian','Summer','Feminine']",female,Clothing,Skirts,Forever 21,['India'],20.0,True,85,2024-03-20,2024-12-27
prod_32,Sherwani Set,Traditional sherwani for wedding occasions,14999.0,INR,"['M','L','XL']",['Regular'],"['Wedding','Traditional','Festive']",male,Clothing,Ethnic Wear,Manyavar,['India'],30.0,True,20,2024-03-22,2024-12-28
prod_33,Thermal Underwear,Heat-retaining thermal wear for winters,899.0,INR,"['S','M','L','XL']",['Fitted'],"['Winter','Thermal','Comfort']",unisex,Clothing,Innerwear,Jockey,['India'],10.0,True,160,2024-03-25,2024-12-29
